H_sin,H_cos,S,B,H,RGB,HEX,name
0.5926657426687147,0.8049100391376673,0.2517367348954863,0.5954183277233324,36.364699710087066,"(151, 136, 113)",#978871,brown-grey
0.9471825192115514,-0.3134238924112263,0.4670750589154917,0.14119040659283977,108.30944485206393,"(22, 36, 19)",#162413,very-dark-green
-0.8660254037844384,-0.5000000000000004,0.0689138444195278,0.2137799005510282,239.99999999999994,"(50, 50, 54)",#323236,charcoal
0.644443531915599,-0.7626067417995581,0.11400498061018749,0.36097745555711647,139.80040019756575,"(81, 92, 85)",#515c55,gunmetal
-0.7479619576081854,-0.6618262528917582,0.5046372720090071,0.10321129114953953,228.49633013542305,"(13, 15, 26)",#0d0f1a,almost-black
0.35127517174296236,-0.9337986607017994,0.5764136962898404,0.32997510810625347,159.38476908160052,"(35, 84, 67)",#235443,pine
0.9948076303467489,-0.08576516956529279,0.21958114089141725,0.8374653465139206,94.92744674073599,"(186, 213, 166)",#bad5a6,light-grey-green
-0.28546158542560707,-0.95688898341261,0.7000797018946106,0.6845798651200774,196.6110298352586,"(52, 140, 174)",#348cae,dirty-blue
-0.12055453933867877,-0.9920526693322227,0.08035701937294576,0.8106871351122165,186.92862822640475,"(190, 204, 206)",#beccce,silver
0.8031728918906398,0.5947849262979888,0.11341260421086946,0.5508805112164641,53.478421187091705,"(140, 138, 124)",#8c8a7c,warm-grey
0.5395195704601412,0.8415488300490281,0.24916693783993984,0.7472009034670366,32.66405846523981,"(190, 168, 143)",#bea88f,putty
0.4321764845528479,0.9011729357949481,0.7314510527601991,0.796852145442412,25.621029388751584,"(203, 118, 54)",#cb7636,terra-cotta
0.30900655692849693,0.950527136102012,0.4486306726429261,0.5379360423189694,18.008808582799755,"(137, 94, 75)",#895e4b,cocoa
0.9816735592782251,0.1818420064842176,0.4015859445696345,0.45838267549003997,79.50566727159521,"(101, 116, 69)",#657445,military-green
0.08947769821832288,0.9949510030588335,0.7471170306631878,0.20173511790015725,5.1388862798943915,"(51, 16, 13)",#33100d,dark-brown
0.5916783734091361,0.8053907576780025,0.47256621636447815,0.29990470766094285,36.3027744376448,"(76, 62, 40)",#4c3e28,dark-grey
0.13642162031007368,0.9899644477154483,0.5706057029190187,0.6765606771056719,7.846202309932512,"(172, 86, 74)",#ac564a,dusty-red
8.326672684688674e-17,0.9999999999999998,0.008553910762415129,0.34083444806520974,4.770832022195277e-15,"(86, 86, 86)",#565656,gunmetal
-0.1954022518652394,-0.9795723802101441,0.14034532063321897,0.2002065081588022,191.28112159739976,"(43, 49, 51)",#2b3133,charcoal
-0.9763493579651452,0.20772696254279804,0.2915684214701305,0.30826797782388105,282.01108856787397,"(71, 55, 78)",#47374e,charcoal-grey
0.4063114537399458,0.9133053768043038,0.056194574366096095,0.9575460078900268,23.983332989393844,"(244, 235, 230)",#f4ebe6,very-light-pink
0.9949027744672353,-0.09618732635095606,0.06112626961007245,0.919929274617685,95.522200480514,"(226, 234, 220)",#e2eadc,light-grey
-0.9858138298737407,-0.16178083048450226,0.06437222257270314,0.7215378436224692,260.6803246976237,"(176, 172, 183)",#b0acb7,pinkish-grey
0.49988355971623843,0.865402220358416,0.663681229968827,0.5776351538133405,30.012082393753335,"(147, 98, 49)",#936231,sepia
0.998501775902962,0.020468529750290787,0.2528142965486482,0.13003656927885643,88.82564441526517,"(29, 33, 24)",#1d2118,dark
-0.7756113347232657,0.6295991432124817,0.08418061541322347,0.7520503721083828,309.0678156531186,"(191, 175, 189)",#bfafbd,pinkish-grey
-0.28909750652143074,0.9559698431061672,0.5724935845367931,0.4680065199181553,343.1740120381493,"(119, 51, 70)",#773346,brownish-purple
-0.11134353251069379,0.9930817839222521,0.45509056270916703,0.13553571362263178,353.6027598775352,"(34, 18, 20)",#221214,very-dark-brown
