support,itemsets
0.00838322900029521,"frozenset({'school_ modern', 'cluster_15'})"
0.0012565381616695304,"frozenset({'cluster_15', 'school_ Italy'})"
0.0036106548380503978,"frozenset({'cluster_15', 'school_ Unknown'})"
0.00020059193544724431,"frozenset({'school_ France', 'cluster_15'})"
0.00028764126592435035,"frozenset({'cluster_15', 'school_ Netherlands'})"
0.0018015426655261942,"frozenset({'cluster_91', 'school_ Italy'})"
0.006104807393894436,"frozenset({'school_ modern', 'cluster_91'})"
0.004095103285922988,"frozenset({'cluster_91', 'school_ Unknown'})"
0.0004125381313915025,"frozenset({'school_ France', 'cluster_91'})"
0.0005563587643536776,"frozenset({'cluster_91', 'school_ Netherlands'})"
0.007437040625544058,"frozenset({'school_ modern', 'cluster_26'})"
0.00017788341445321666,"frozenset({'school_ France', 'cluster_26'})"
0.001086224254214323,"frozenset({'cluster_26', 'school_ Unknown'})"
0.00012868161896615674,"frozenset({'cluster_26', 'school_ Netherlands'})"
0.00040118387089448863,"frozenset({'cluster_26', 'school_ Italy'})"
0.008322672944311138,"frozenset({'school_ modern', 'cluster_32'})"
0.005204036061131338,"frozenset({'school_ Unknown', 'cluster_32'})"
0.0005071569688666177,"frozenset({'school_ Italy', 'cluster_32'})"
0.00016652915395620283,"frozenset({'school_ France', 'cluster_32'})"
0.02222407254615507,"frozenset({'school_ modern', 'cluster_66'})"
0.003754475471012573,"frozenset({'cluster_66', 'school_ Unknown'})"
0.005904215458447192,"frozenset({'cluster_90', 'school_ modern'})"
0.0005298654898606453,"frozenset({'cluster_90', 'school_ Unknown'})"
0.002297345373895798,"frozenset({'cluster_86', 'school_ Unknown'})"
0.005487892573556684,"frozenset({'school_ modern', 'cluster_86'})"
0.0001589596469581936,"frozenset({'school_ France', 'cluster_86'})"
0.0009386188677531432,"frozenset({'cluster_86', 'school_ Italy'})"
0.00017409866095421204,"frozenset({'school_ Flanders', 'cluster_86'})"
0.00020816144244525353,"frozenset({'cluster_86', 'school_ Netherlands'})"
0.00020437668894624894,"frozenset({'school_ Spain', 'cluster_8'})"
0.000223300456441272,"frozenset({'school_ Spain', 'cluster_94'})"
0.00021951570294226737,"frozenset({'school_ Spain', 'cluster_88'})"
0.00028385651242534573,"frozenset({'school_ Spain', 'cluster_82'})"
0.00021194619594425815,"frozenset({'school_ Spain', 'cluster_69'})"
0.00016652915395620283,"frozenset({'school_ Spain', 'cluster_1'})"
0.00014003587946317055,"frozenset({'school_ Spain', 'cluster_91'})"
0.00016274440045719823,"frozenset({'school_ Spain', 'cluster_75'})"
0.00010975785147113369,"frozenset({'cluster_25', 'school_ Spain'})"
0.0003141345404173826,"frozenset({'school_ Spain', 'cluster_24'})"
0.00027628700542733654,"frozenset({'school_ Spain', 'cluster_93'})"
0.00021951570294226737,"frozenset({'school_ Spain', 'cluster_17'})"
0.00012868161896615674,"frozenset({'school_ Spain', 'cluster_83'})"
0.0001173273584691429,"frozenset({'school_ Spain', 'cluster_27'})"
