support,itemsets
0.00023843947043729043,"frozenset({'cluster_32', 'decade_1790'})"
0.00014003587946317055,"frozenset({'decade_1790', 'cluster_17'})"
0.00010975785147113369,"frozenset({'decade_1790', 'cluster_81'})"
0.0001513901399601844,"frozenset({'decade_1790', 'cluster_97'})"
0.00013246637246516134,"frozenset({'decade_1790', 'cluster_82'})"
0.00012111211196814751,"frozenset({'decade_1790', 'cluster_66'})"
0.00020816144244525353,"frozenset({'cluster_71', 'decade_1790'})"
0.00010597309797212908,"frozenset({'decade_1790', 'cluster_1'})"
0.0001135426049701383,"frozenset({'decade_1790', 'cluster_15'})"
0.00020059193544724431,"frozenset({'cluster_52', 'decade_1790'})"
0.0001476053864611798,"frozenset({'decade_1790', 'cluster_77'})"
0.00010218834447312447,"frozenset({'decade_1790', 'cluster_28'})"
0.00010597309797212908,"frozenset({'decade_1790', 'cluster_48'})"
0.0061426549288844815,"frozenset({'cluster_11', 'decade_2010'})"
0.0020967534384485538,"frozenset({'cluster_11', 'decade_2000'})"
0.0003444125684094195,"frozenset({'decade_1880', 'cluster_11'})"
0.00024222422393629502,"frozenset({'cluster_11', 'decade_1900'})"
0.0005790672853477053,"frozenset({'decade_1890', 'cluster_11'})"
0.0002952107729223596,"frozenset({'cluster_11', 'decade_1910'})"
0.0023503319228818627,"frozenset({'cluster_94', 'decade_2010'})"
0.0010445919657252724,"frozenset({'cluster_94', 'decade_2000'})"
0.00018545292145122588,"frozenset({'decade_1890', 'cluster_94'})"
0.00029899552642136416,"frozenset({'cluster_94', 'decade_1620'})"
0.00010218834447312447,"frozenset({'cluster_94', 'decade_1850'})"
0.00010975785147113369,"frozenset({'cluster_94', 'decade_1910'})"
0.00010975785147113369,"frozenset({'decade_1870', 'cluster_94'})"
0.00013625112596416596,"frozenset({'decade_1880', 'cluster_94'})"
0.0001173273584691429,"frozenset({'cluster_71', 'decade_1740'})"
0.00016652915395620283,"frozenset({'cluster_24', 'decade_1740'})"
0.002240574071410729,"frozenset({'cluster_93', 'decade_2010'})"
0.0001892376749502305,"frozenset({'decade_1890', 'cluster_93'})"
0.0008742780582700649,"frozenset({'cluster_93', 'decade_2000'})"
0.0001173273584691429,"frozenset({'cluster_93', 'decade_1850'})"
0.0001513901399601844,"frozenset({'decade_1870', 'cluster_93'})"
0.00015517489345918901,"frozenset({'decade_1880', 'cluster_93'})"
0.0003141345404173826,"frozenset({'cluster_93', 'decade_1620'})"
0.0033419373396210705,"frozenset({'decade_2010', 'cluster_82'})"
0.0013360179851486273,"frozenset({'decade_2000', 'cluster_82'})"
0.00040496862439349325,"frozenset({'decade_1890', 'cluster_82'})"
0.0003065650334193734,"frozenset({'decade_1880', 'cluster_38'})"
0.0004995874618686085,"frozenset({'decade_1890', 'cluster_38'})"
0.003849094308487688,"frozenset({'decade_2010', 'cluster_38'})"
0.0016955695675540652,"frozenset({'cluster_38', 'decade_2000'})"
0.0001513901399601844,"frozenset({'cluster_38', 'decade_1550'})"
0.00012868161896615674,"frozenset({'decade_1550', 'cluster_99'})"
0.00010975785147113369,"frozenset({'decade_1550', 'cluster_82'})"
0.00010975785147113369,"frozenset({'cluster_14', 'decade_1550'})"
0.00020059193544724431,"frozenset({'cluster_24', 'decade_1550'})"
0.00010218834447312447,"frozenset({'cluster_83', 'decade_1550'})"
0.0001135426049701383,"frozenset({'cluster_71', 'decade_1550'})"
0.00010218834447312447,"frozenset({'cluster_19', 'decade_1550'})"
0.00012489686546715212,"frozenset({'cluster_69', 'decade_1560'})"
0.0001135426049701383,"frozenset({'decade_1560', 'cluster_99'})"
0.00010218834447312447,"frozenset({'cluster_14', 'decade_1560'})"
0.0002800717589263411,"frozenset({'cluster_24', 'decade_1560'})"
0.0001135426049701383,"frozenset({'cluster_71', 'decade_1560'})"
0.00016274440045719823,"frozenset({'cluster_83', 'decade_1560'})"
0.0001135426049701383,"frozenset({'cluster_1', 'decade_1560'})"
0.00010975785147113369,"frozenset({'decade_1560', 'cluster_91'})"
0.00012111211196814751,"frozenset({'cluster_38', 'decade_1560'})"
0.00010975785147113369,"frozenset({'decade_1560', 'cluster_82'})"
0.00012868161896615674,"frozenset({'decade_1560', 'cluster_75'})"
0.0001173273584691429,"frozenset({'cluster_25', 'decade_1560'})"
0.0002725022519283319,"frozenset({'decade_1880', 'cluster_13'})"
0.0023389776623848487,"frozenset({'cluster_13', 'decade_2000'})"
0.0066119643627610535,"frozenset({'decade_2010', 'cluster_13'})"
0.0005071569688666177,"frozenset({'decade_1890', 'cluster_13'})"
0.00010597309797212908,"frozenset({'cluster_8', 'decade_1610'})"
0.00033684306141141027,"frozenset({'decade_1610', 'cluster_24'})"
0.00017031390745520745,"frozenset({'cluster_94', 'decade_1610'})"
0.00017788341445321666,"frozenset({'decade_1610', 'cluster_82'})"
0.00015517489345918901,"frozenset({'decade_1610', 'cluster_75'})"
0.00010975785147113369,"frozenset({'cluster_1', 'decade_1610'})"
0.00020816144244525353,"frozenset({'cluster_93', 'decade_1610'})"
0.00012111211196814751,"frozenset({'decade_1610', 'cluster_17'})"
0.00014003587946317055,"frozenset({'decade_1610', 'cluster_88'})"
0.00010975785147113369,"frozenset({'cluster_83', 'decade_1610'})"
0.00012489686546715212,"frozenset({'decade_1610', 'cluster_38'})"
0.00020816144244525353,"frozenset({'cluster_71', 'decade_1610'})"
0.00013246637246516134,"frozenset({'cluster_69', 'decade_1610'})"
0.00010975785147113369,"frozenset({'decade_1610', 'cluster_99'})"
0.005836089895465108,"frozenset({'cluster_98', 'decade_2010'})"
0.0017485561165401298,"frozenset({'cluster_98', 'decade_2000'})"
0.000931049360755134,"frozenset({'decade_1890', 'cluster_77'})"
0.008148574283356925,"frozenset({'decade_2010', 'cluster_77'})"
0.0027477310402773468,"frozenset({'decade_2000', 'cluster_77'})"
0.00010975785147113369,"frozenset({'decade_1590', 'cluster_94'})"
0.0001173273584691429,"frozenset({'decade_1590', 'cluster_17'})"
0.00017031390745520745,"frozenset({'decade_1590', 'cluster_71'})"
0.0002308699634392812,"frozenset({'decade_1590', 'cluster_24'})"
0.00012868161896615674,"frozenset({'decade_1590', 'cluster_82'})"
0.00010218834447312447,"frozenset({'decade_1590', 'cluster_32'})"
0.006339462110832721,"frozenset({'decade_2010', 'cluster_89'})"
0.0017599103770371436,"frozenset({'cluster_89', 'decade_2000'})"
0.00028764126592435035,"frozenset({'decade_1890', 'cluster_89'})"
0.0001892376749502305,"frozenset({'decade_1910', 'cluster_89'})"
0.00012489686546715212,"frozenset({'cluster_89', 'decade_1900'})"
0.0001173273584691429,"frozenset({'decade_1600', 'cluster_93'})"
0.00021194619594425815,"frozenset({'decade_1600', 'cluster_71'})"
0.00018545292145122588,"frozenset({'decade_1600', 'cluster_1'})"
0.00014382063296217517,"frozenset({'decade_1600', 'cluster_82'})"
0.00023843947043729043,"frozenset({'decade_1600', 'cluster_24'})"
0.00010218834447312447,"frozenset({'decade_1600', 'cluster_75'})"
0.0001892376749502305,"frozenset({'decade_1600', 'cluster_8'})"
0.00014003587946317055,"frozenset({'decade_1600', 'cluster_94'})"
0.00010218834447312447,"frozenset({'decade_1600', 'cluster_17'})"
0.0001589596469581936,"frozenset({'decade_1520', 'cluster_19'})"
0.0002800717589263411,"frozenset({'decade_1520', 'cluster_75'})"
0.0002800717589263411,"frozenset({'decade_1520', 'cluster_71'})"
0.00036712108940344714,"frozenset({'decade_1520', 'cluster_24'})"
0.0001930224284492351,"frozenset({'decade_1520', 'cluster_83'})"
0.0002573632379323135,"frozenset({'decade_1520', 'cluster_69'})"
0.00020059193544724431,"frozenset({'decade_1520', 'cluster_82'})"
0.00026493274493032267,"frozenset({'decade_1520', 'cluster_1'})"
0.0002725022519283319,"frozenset({'decade_1520', 'cluster_38'})"
0.00016652915395620283,"frozenset({'decade_1520', 'cluster_81'})"
0.00012489686546715212,"frozenset({'decade_1520', 'cluster_17'})"
0.000223300456441272,"frozenset({'cluster_25', 'decade_1520'})"
0.0001513901399601844,"frozenset({'decade_1520', 'cluster_4'})"
0.00021951570294226737,"frozenset({'decade_1520', 'cluster_91'})"
0.00026493274493032267,"frozenset({'decade_1520', 'cluster_14'})"
0.0002800717589263411,"frozenset({'decade_1520', 'cluster_93'})"
0.00020437668894624894,"frozenset({'decade_1520', 'cluster_94'})"
0.0001589596469581936,"frozenset({'decade_1520', 'cluster_99'})"
0.00010597309797212908,"frozenset({'decade_1520', 'cluster_60'})"
0.00018166816795222126,"frozenset({'decade_1520', 'cluster_88'})"
0.0023124843878918164,"frozenset({'decade_2010', 'cluster_99'})"
0.00012489686546715212,"frozenset({'decade_1910', 'cluster_99'})"
0.0010445919657252724,"frozenset({'decade_2000', 'cluster_99'})"
0.00017788341445321666,"frozenset({'decade_1880', 'cluster_99'})"
0.0002308699634392812,"frozenset({'decade_1620', 'cluster_99'})"
0.00017031390745520745,"frozenset({'decade_1850', 'cluster_99'})"
0.00013625112596416596,"frozenset({'decade_1870', 'cluster_99'})"
0.000223300456441272,"frozenset({'decade_1890', 'cluster_99'})"
0.006138870175385477,"frozenset({'decade_2010', 'cluster_15'})"
0.0005979910528427283,"frozenset({'decade_1890', 'cluster_15'})"
0.002267067345903761,"frozenset({'decade_2000', 'cluster_15'})"
0.000465524680377567,"frozenset({'decade_1890', 'cluster_66'})"
0.0001892376749502305,"frozenset({'decade_1450', 'cluster_81'})"
0.00010597309797212908,"frozenset({'decade_1450', 'cluster_59'})"
0.00010597309797212908,"frozenset({'decade_1450', 'cluster_4'})"
0.00017031390745520745,"frozenset({'decade_1450', 'cluster_13'})"
0.0003027802799203688,"frozenset({'cluster_14', 'decade_1450'})"
0.00012489686546715212,"frozenset({'decade_1450', 'cluster_99'})"
0.00021951570294226737,"frozenset({'cluster_1', 'decade_1450'})"
0.0001135426049701383,"frozenset({'decade_1450', 'cluster_38'})"
0.0001476053864611798,"frozenset({'decade_1450', 'cluster_48'})"
0.00021194619594425815,"frozenset({'cluster_52', 'decade_1450'})"
0.00020059193544724431,"frozenset({'decade_1450', 'cluster_30'})"
0.00016652915395620283,"frozenset({'decade_1450', 'cluster_91'})"
0.00014382063296217517,"frozenset({'cluster_28', 'decade_1450'})"
0.00021194619594425815,"frozenset({'decade_1450', 'cluster_75'})"
0.0001476053864611798,"frozenset({'cluster_25', 'decade_1450'})"
