antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'decade_1670'}),frozenset({'cluster_82'}),0.004973166097692057,0.014234457909756337,0.0004541704198805532,0.09132420091324202,6.415713298828764,1.0,0.00038338009638472844,1.0848374558681577,0.8483516797005751,0.024217961654894045,0.07820291916475648,0.061615304391744646
frozenset({'cluster_82'}),frozenset({'decade_1670'}),0.014234457909756337,0.004973166097692057,0.0004541704198805532,0.031906407870247275,6.415713298828764,1.0,0.00038338009638472844,1.0278209069779127,0.8563219648540834,0.024217961654894045,0.027067854709935925,0.061615304391744646
frozenset({'cluster_24'}),frozenset({'decade_1570'}),0.015464502796932835,0.003141345404173826,0.0003065650334193734,0.019823788546255508,6.310604532668118,1.0,0.0002579856886303952,1.0170198408685507,0.8547549363827254,0.01675284384694933,0.01673501360014328,0.05870707499601932
frozenset({'decade_1570'}),frozenset({'cluster_24'}),0.003141345404173826,0.015464502796932835,0.0003065650334193734,0.09759036144578313,6.310604532668117,1.0,0.0002579856886303952,1.0910072932957888,0.8441884638294498,0.01675284384694933,0.08341584318915754,0.05870707499601932
frozenset({'cluster_24'}),frozenset({'decade_1610'}),0.015464502796932835,0.0037431212105155593,0.00033684306141141027,0.02178169358786099,5.819125901311885,1.0,0.0002789575529821338,1.0184402318573513,0.841161021621348,0.01784997994384276,0.018106346627451593,0.05588579118220147
frozenset({'decade_1610'}),frozenset({'cluster_24'}),0.0037431212105155593,0.015464502796932835,0.00033684306141141027,0.08998988877654196,5.819125901311885,1.0,0.0002789575529821338,1.0818951185931485,0.831264408087272,0.01784997994384276,0.07569598677886752,0.05588579118220147
frozenset({'decade_1640'}),frozenset({'cluster_82'}),0.005143480005147265,0.014234457909756337,0.0004238923918885163,0.08241353936718175,5.789720963711255,1.0,0.0003506777422455742,1.0743026236572906,0.8315572023132445,0.02236421725239617,0.0691635876344964,0.05609642668970627
frozenset({'cluster_82'}),frozenset({'decade_1640'}),0.014234457909756337,0.005143480005147265,0.0004238923918885163,0.02977931401223079,5.789720963711254,1.0,0.0003506777422455742,1.0253919900522448,0.8392260321007196,0.02236421725239617,0.024763203046818234,0.05609642668970627
frozenset({'decade_1560'}),frozenset({'cluster_24'}),0.003129991143676812,0.015464502796932835,0.0002800717589263411,0.08948004836759371,5.786157469307116,1.0,0.00023166800213057605,1.0812893176453342,0.8297709078487465,0.015292415788386029,0.07517813809753847,0.05379533500122221
frozenset({'cluster_24'}),frozenset({'decade_1560'}),0.015464502796932835,0.003129991143676812,0.0002800717589263411,0.018110621634850707,5.786157469307115,1.0,0.00023166800213057605,1.0152569432170828,0.8401664892792473,0.015292415788386029,0.01502766695565522,0.05379533500122221
